,year_film,year_ceremony,ceremony,category,name,film,winner
3719,1961,1962,34,ACTOR IN A SUPPORTING ROLE,George Chakiris,West Side Story,True
3733,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story,True
3743,1961,1962,34,ART DIRECTION (Color),West Side Story,West Side Story,True
3753,1961,1962,34,CINEMATOGRAPHY (Color),West Side Story,West Side Story,True
3763,1961,1962,34,COSTUME DESIGN (Color),West Side Story,West Side Story,True
3768,1961,1962,34,DIRECTING,West Side Story,West Side Story,True
3780,1961,1962,34,FILM EDITING,West Side Story,West Side Story,True
3795,1961,1962,34,MUSIC (Scoring of a Musical Picture),West Side Story,West Side Story,True
3805,1961,1962,34,BEST MOTION PICTURE,West Side Story,West Side Story,True
3820,1961,1962,34,SOUND,West Side Story,West Side Story,True
3827,1961,1962,34,WRITING (Screenplay--based on material from another medium),West Side Story,West Side Story,False
6038,1982,1983,55,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,True
6059,1982,1983,55,ART DIRECTION,Gandhi,Gandhi,True
6064,1982,1983,55,CINEMATOGRAPHY,Gandhi,Gandhi,True
6067,1982,1983,55,COSTUME DESIGN,Gandhi,Gandhi,True
6074,1982,1983,55,DIRECTING,Gandhi,Gandhi,True
6089,1982,1983,55,FILM EDITING,Gandhi,Gandhi,True
6097,1982,1983,55,MAKEUP,Gandhi,Gandhi,False
6100,1982,1983,55,MUSIC (Original Score),Gandhi,Gandhi,False
6113,1982,1983,55,BEST PICTURE,Gandhi,Gandhi,True
6127,1982,1983,55,SOUND,Gandhi,Gandhi,False
6143,1982,1983,55,WRITING (Screenplay Written Directly for the Screen),Gandhi,Gandhi,True
6252,1984,1985,57,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,True
6255,1984,1985,57,ACTOR IN A LEADING ROLE,Tom Hulce,Amadeus,False
6272,1984,1985,57,ART DIRECTION,Amadeus,Amadeus,True
6277,1984,1985,57,CINEMATOGRAPHY,Amadeus,Amadeus,False
6282,1984,1985,57,COSTUME DESIGN,Amadeus,Amadeus,True
6287,1984,1985,57,DIRECTING,Amadeus,Amadeus,True
6302,1984,1985,57,FILM EDITING,Amadeus,Amadeus,False
6312,1984,1985,57,MAKEUP,Amadeus,Amadeus,True
6328,1984,1985,57,BEST PICTURE,Amadeus,Amadeus,True
6339,1984,1985,57,SOUND,Amadeus,Amadeus,True
6347,1984,1985,57,WRITING (Screenplay Based on Material from Another Medium),Amadeus,Amadeus,True
6598,1987,1988,60,ART DIRECTION,The Last Emperor,The Last Emperor,True
6604,1987,1988,60,CINEMATOGRAPHY,The Last Emperor,The Last Emperor,True
6608,1987,1988,60,COSTUME DESIGN,The Last Emperor,The Last Emperor,True
6613,1987,1988,60,DIRECTING,The Last Emperor,The Last Emperor,True
6629,1987,1988,60,FILM EDITING,The Last Emperor,The Last Emperor,True
6640,1987,1988,60,MUSIC (Original Score),The Last Emperor,The Last Emperor,True
6651,1987,1988,60,BEST PICTURE,The Last Emperor,The Last Emperor,True
6660,1987,1988,60,SOUND,The Last Emperor,The Last Emperor,True
6669,1987,1988,60,WRITING (Screenplay Based on Material from Another Medium),The Last Emperor,The Last Emperor,True
7554,1996,1997,69,ACTOR IN A LEADING ROLE,Ralph Fiennes,The English Patient,False
7566,1996,1997,69,ACTRESS IN A LEADING ROLE,Kristin Scott Thomas,The English Patient,False
7570,1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,The English Patient,True
7574,1996,1997,69,ART DIRECTION,The English Patient,The English Patient,True
7578,1996,1997,69,CINEMATOGRAPHY,The English Patient,The English Patient,True
7585,1996,1997,69,COSTUME DESIGN,The English Patient,The English Patient,True
7588,1996,1997,69,DIRECTING,The English Patient,The English Patient,True
7603,1996,1997,69,FILM EDITING,The English Patient,The English Patient,True
7616,1996,1997,69,MUSIC (Original Dramatic Score),The English Patient,The English Patient,True
7631,1996,1997,69,BEST PICTURE,The English Patient,The English Patient,True
7645,1996,1997,69,SOUND,The English Patient,The English Patient,True
7657,1996,1997,69,WRITING (Screenplay Based on Material Previously Produced or Published),The English Patient,The English Patient,False
7682,1997,1998,70,ACTRESS IN A LEADING ROLE,Kate Winslet,Titanic,False
7687,1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Gloria Stuart,Titanic,False
7692,1997,1998,70,ART DIRECTION,Titanic,Titanic,True
7696,1997,1998,70,CINEMATOGRAPHY,Titanic,Titanic,True
7701,1997,1998,70,COSTUME DESIGN,Titanic,Titanic,True
7707,1997,1998,70,DIRECTING,Titanic,Titanic,True
7722,1997,1998,70,FILM EDITING,Titanic,Titanic,True
7730,1997,1998,70,MAKEUP,Titanic,Titanic,False
7735,1997,1998,70,MUSIC (Original Dramatic Score),Titanic,Titanic,True
7745,1997,1998,70,MUSIC (Original Song),Titanic,Titanic,True
7750,1997,1998,70,BEST PICTURE,Titanic,Titanic,True
7765,1997,1998,70,SOUND,Titanic,Titanic,True
7768,1997,1998,70,SOUND EFFECTS EDITING,Titanic,Titanic,True
7771,1997,1998,70,VISUAL EFFECTS,Titanic,Titanic,True
8366,2003,2004,76,ART DIRECTION,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8376,2003,2004,76,COSTUME DESIGN,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8380,2003,2004,76,DIRECTING,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8394,2003,2004,76,FILM EDITING,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8402,2003,2004,76,MAKEUP,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8409,2003,2004,76,MUSIC (Original Score),The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8411,2003,2004,76,MUSIC (Original Song),The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8415,2003,2004,76,BEST PICTURE,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8434,2003,2004,76,SOUND MIXING,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8438,2003,2004,76,VISUAL EFFECTS,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
8443,2003,2004,76,WRITING (Adapted Screenplay),The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
