,film,won
88,All the President's Men,4
89,Inception,4
90,Network,4
91,Driving Miss Daisy,4
92,Marty,4
93,Life of Pi,4
94,Fanny & Alexander,4
95,Chariots of Fire,4
96,Hamlet,4
97,Spartacus,4
98,The Lost Weekend,4
99,Million Dollar Baby,4
100,The Matrix,4
101,Barry Lyndon,4
102,The Informer,4
103,King Kong,4
104,Annie Hall,4
105,The Great Gatsby,4
106,Platoon,4
107,A Beautiful Mind,4
108,Traffic,4
109,All That Jazz,4
110,Parasite,4
111,The Lord of the Rings: The Fellowship of the Ring,4
112,Birdman or (The Unexpected Virtue of Ignorance),4
113,Midnight Cowboy,3
114,Dunkirk,3
115,Julia,3
116,Moonstruck,3
117,The Godfather,3
118,Memoirs of a Geisha,3
119,Love Is a Many-Splendored Thing,3
120,The Rose Tattoo,3
121,Zorba the Greek,3
122,Tess,3
123,Sunrise,3
124,Yankee Doodle Dandy,3
125,Who Framed Roger Rabbit,3
126,Miracle on 34th Street,3
127,Sunset Blvd.,3
128,Grand Prix,3
129,A Star Is Born,3
130,7th Heaven,3
131,Coming Home,3
132,The Social Network,3
133,The Lion in Winter,3
134,Reds,3
135,Avatar,3
136,Roman Holiday,3
137,All the King's Men,3
138,Dallas Buyers Club,3
139,Camelot,3
140,Les Misérables,3
141,The Story of Louis Pasteur,3
142,The Treasure of the Sierra Madre,3
143,1917,3
144,A Room with a View,3
145,The Life of Emile Zola,3
146,The Piano,3
147,Elmer Gantry,3
148,Green Book,3
149,Glory,3
150,Crash,3
151,The Great Ziegfeld,3
152,Jurassic Park,3
153,On Golden Pond,3
154,The Pianist,3
155,The Killing Fields,3
156,To Kill a Mockingbird,3
157,Fiddler on the Roof,3
158,Roma,3
159,Dangerous Liaisons,3
160,Casablanca,3
161,The Diary of Anne Frank,3
162,Whiplash,3
163,Hud,3
164,Brokeback Mountain,3
165,Black Panther,3
166,Little Women,3
167,Cavalcade,3
168,12 Years a Slave,3
169,Rocky,3
170,Bram Stoker's Dracula,3
171,Up,3
172,The Bourne Ultimatum,3
173,Pan's Labyrinth,3
174,Argo,3
175,Jaws,3
176,The Curious Case of Benjamin Button,3
177,Moonlight,3
178,The Adventures of Robin Hood,3
179,Hannah and Her Sisters,3
180,Howards End,3
181,Life Is Beautiful,3
182,"Hello, Dolly!",3
183,How the West Was Won,3
184,Gentleman's Agreement,3
185,Darling,3
186,Dick Tracy,3
187,The Towering Inferno,3
188,The Revenant,3
189,Cimarron,3
190,The Thief of Bagdad,3
191,Earthquake,2
192,Master and Commander: The Far Side of the World,2
193,Places in the Heart,2
194,Boys Town,2
195,The Fighter,2
196,Norma Rae,2
197,Blade Runner 2049,2
198,Darkest Hour,2
199,Rebecca,2
200,Bound for Glory,2
201,Hacksaw Ridge,2
202,Here Comes Mr. Jordan,2
203,Room at the Top,2
204,The Quiet Man,2
205,Picnic,2
206,All Quiet on the Western Front,2
207,Born on the Fourth of July,2
208,Apocalypse Now,2
209,The Lion King,2
210,Crazy Heart,2
211,Samson and Delilah,2
212,Beauty and the Beast,2
213,The Little Mermaid,2
214,The Wizard of Oz,2
215,Once upon a Time...in Hollywood,2
216,The Iron Lady,2
217,Bonnie and Clyde,2
218,Close Encounters of the Third Kind,2
219,The Incredibles,2
220,Arthur,2
221,Manchester by the Sea,2
222,Skyfall,2
223,Speed,2
224,Raging Bull,2
225,The Cider House Rules,2
226,The Way We Were,2
227,Good Will Hunting,2
228,As Good as It Gets,2
229,Sergeant York,2
230,"20,000 Leagues under the Sea",2
231,Romeo and Juliet,2
232,The Empire Strikes Back,2
233,Federico Fellini's 8-1/2,2
234,Judgment at Nuremberg,2
235,The Yearling,2
236,Doctor Dolittle,2
237,The Fly,2
238,The Naked City,2
239,Phantom of the Opera,2
240,A Double Life,2
241,Aladdin,2
242,Anna and the King of Siam,2
243,The Philadelphia Story,2
244,Somebody Up There Likes Me,2
245,Frozen,2
246,A Midsummer Night's Dream,2
247,Fame,2
248,Mystic River,2
249,Milk,2
250,Stagecoach,2
251,Cocoon,2
252,The Jolson Story,2
253,Great Expectations,2
254,Jezebel,2
255,Pinocchio,2
256,Bugsy,2
257,Alice in Wonderland,2
258,The Hustler,2
259,Ed Wood,2
260,Restoration,2
261,The Red Shoes,2
262,Joan of Arc,2
263,The Lord of the Rings: The Two Towers,2
264,Three Coins in the Fountain,2
265,Django Unchained,2
266,King Solomon's Mines,2
267,JFK,2
268,Joker,2
269,Spotlight,2
270,The Robe,2
271,National Velvet,2
272,Cyrano de Bergerac,2
273,Gaslight,2
274,Twelve O'Clock High,2
275,Ray,2
276,Witness,2
277,In Old Chicago,2
278,A Man and a Woman,2
279,Pocahontas,2
280,Breakfast at Tiffany's,2
281,Dreamgirls,2
282,An Inconvenient Truth,2
283,The Poseidon Adventure,2
284,Ford v Ferrari,2
285,The Last Picture Show,2
286,The Greatest Show on Earth,2
287,Fargo,2
288,Born Free,2
289,Battleground,2
290,Apollo 13,2
291,Toy Story 3,2
292,The Longest Day,2
293,L.A. Confidential,2
294,You Can't Take It with You,2
295,The Defiant Ones,2
296,Black Hawk Down,2
297,Aliens,2
298,Frida,2
299,Separate Tables,2
300,Guess Who's Coming to Dinner,2
301,The Grapes of Wrath,2
302,An Officer and a Gentleman,2
303,"Three Billboards outside Ebbing, Missouri",2
304,The Miracle Worker,2
305,Bad Girl,2
306,Fantastic Voyage,2
307,My Left Foot,2
308,The Dark Knight,2
309,A Letter to Three Wives,2
310,The Champ,2
