,film,won
1073,American Dream,1
1074,Lemony Snicket's A Series of Unfortunate Events,1
1075,Blood and Sand,1
1076,Arrival,1
1077,The Merry Wives of Windsor Overture,1
1078,In a Better World,1
1079,WALL-E,1
1080,Destination Moon,1
1081,Tora! Tora! Tora!,1
1082,"Girl, Interrupted",1
1083,Common Threads: Stories from the Quilt,1
1084,Day of the Painter,1
1085,Min and Bill,1
1086,You Don't Have to Die,1
1087,Erin Brockovich,1
1088,Survival City,1
1089,Czechoslovakia 1968,1
1090,The Barbarian Invasions,1
1091,Innerspace,1
1092,Ran,1
1093,Rango,1
1094,Black Swan,1
1095,Come and Get It,1
1096,Finding Neverland,1
1097,Good-bye Miss Turlock,1
1098,Kolya,1
1099,What Dreams May Come,1
1100,The Silent World,1
1101,Artie Shaw: Time Is All You've Got,1
1102,A Hole in the Head,1
1103,Dylan Thomas,1
1104,Travels with My Aunt,1
1105,Seal Island,1
1106,Great,1
1107,Ida,1
1108,The Great Lie,1
1109,That Hamilton Woman,1
1110,Emma,1
1111,Thursday's Children,1
1112,The Young Victoria,1
1113,This Land Is Mine,1
1114,Sideways,1
1115,Victor/Victoria,1
1116,One Survivor Remembers,1
1117,Reversal of Fortune,1
1118,Mighty Joe Young,1
1119,Spectre,1
1120,Leave Her to Heaven,1
1121,Breathing Lessons: The Life and Work of Mark O'Brien,1
1122,Portrait of Jennie,1
1123,The Abyss,1
1124,Judy,1
1125,Serengeti Shall Not Die,1
1126,Volver a Empezar ('To Begin Again'),1
1127,Jojo Rabbit,1
1128,White Wilderness,1
1129,Le Ciel et la Boue (Sky Above and Mud Beneath),1
1130,The Dawn Patrol,1
1131,Exodus,1
1132,The Music Box,1
1133,Cromwell,1
1134,Don't,1
1135,A Free Soul,1
1136,Naughty Marietta,1
1137,White Shadows in the South Seas,1
1138,Burnt by the Sun,1
1139,State Fair,1
1140,God of Love,1
1141,Call Me by Your Name,1
1142,Bored of Education,1
1143,A Tree Grows in Brooklyn,1
1144,Thunderball,1
1145,Written on the Wind,1
1146,Wuthering Heights,1
1147,Disraeli,1
1148,The Shore,1
1149,Moscow Strikes Back,1
1150,To Catch a Thief,1
1151,Johnny Eager,1
1152,The Blood of Yingzhou District,1
1153,Pelle the Conqueror,1
1154,The Three Little Pigs,1
1155,Speaking of Animals and Their Families,1
1156,The Personals: Improvisations on Romance in the Golden Years,1
1157,The Paleface,1
1158,Chagall,1
1159,Twin Towers,1
1160,Beetlejuice,1
1161,Happy Feet,1
1162,Pearl Harbor,1
1163,The Old Mill,1
1164,Mr. Smith Goes to Washington,1
1165,La Cucaracha,1
1166,Churchill's Island,1
1167,The Dot and the Line,1
1168,Robert Kennedy Remembered,1
1169,Flashdance,1
1170,Anne Frank Remembered,1
1171,A Touch of Class,1
1172,The End of the Game,1
1173,Wasp,1
1174,The Danish Girl,1
1175,Grandad of Races,1
1176,Batman,1
1177,Man on Wire,1
1178,Training Day,1
1179,The Accidental Tourist,1
1180,The Solid Gold Cadillac,1
1181,A Close Shave,1
1182,The Duchess,1
1183,Busy Little Bears,1
1184,The Candidate,1
1185,Easter Parade,1
1186,A Funny Thing Happened on the Way to the Forum,1
1187,Creature Comforts,1
1188,This Tiny World,1
1189,Amour,1
1190,Bear Story,1
1191,Gold Diggers of 1935,1
1192,The Secret Land,1
1193,The Sand Castle,1
1194,Best Boy,1
1195,Saving Face,1
1196,Election Night (Valgaften),1
1197,Torture Money,1
1198,Aquatic House-Party,1
1199,East of Eden,1
1200,The Accused,1
1201,The Wonderful World of the Brothers Grimm,1
1202,Mr. Deeds Goes to Town,1
1203,Juno,1
1204,Stairway to Light,1
1205,The Dove;,1
1206,Misery,1
1207,A Chance to Live,1
1208,The Private Life of Henry VIII,1
1209,The Great Beauty,1
1210,Trevor,1
1211,The Madness of King George,1
1212,I'll Find a Way,1
1213,The Bishop's Wife,1
1214,Syriana,1
1215,The Hellstrom Chronicle,1
1216,Dodsworth,1
1217,In the Region of Ice,1
1218,U-571,1
1219,Mighty Aphrodite,1
1220,Dog Day Afternoon,1
1221,Love Story,1
1222,A Fantastic Woman,1
1223,Wallace & Gromit in The Curse of the Were-Rabbit,1
1224,Strike Up the Band,1
1225,The Hunt for Red October,1
1226,Eskimo,1
1227,Hotel Terminus: The Life and Times of Klaus Barbie,1
1228,Antonia's Line,1
1229,Investigation of a Citizen above Suspicion,1
1230,Seven Days to Noon,1
1231,La Dolce Vita,1
1232,Grand Hotel,1
1233,First Man,1
1234,Chinatown,1
1235,The Three Faces of Eve,1
1236,The African Queen,1
1237,Spellbound,1
1238,The Thomas Crown Affair,1
1239,Black Orpheus,1
1240,The Lives of Others,1
1241,Visas and Virtue,1
1242,Day for Night,1
1243,The Ten Commandments,1
1244,Top Gun,1
1245,He Makes Me Feel Like Dancin',1
1246,Charly,1
1247,Tootsie,1
1248,Days of Heaven,1
1249,American Factory,1
1250,The Big Broadcast of 1938,1
1251,The Magic Machines,1
1252,Norman Rockwell's World...An American Dream,1
1253,Crashing the Water Barrier,1
1254,Johann Mouse,1
1255,Tabu,1
1256,Board and Care,1
1257,Mask,1
1258,The Times of Harvey Milk,1
1259,Cactus Flower,1
1260,Cold Mountain,1
1261,Black and White in Color,1
1262,Violet,1
1263,California Suite,1
1264,Pygmalion,1
1265,Watch on the Rhine,1
1266,War and Peace,1
1267,Big Mama,1
1268,Interstellar,1
1269,The Milagro Beanfield War,1
1270,San Francisco,1
1271,The Red Violin,1
1272,Knighty Knight Bugs,1
